RadiologyDiagnosticCode, Abnormality
NO ALERT REQUIRED,0
"SIGNIFICANT ABNORMALITY, ATTN NEEDED",1
MINOR ABNORMALITY,1
"ABNORMALITY, ATTN. NEEDED",1
CRITICAL ABNORMALITY,1
Abnormality Follow-up Needed,1
Minor Abnormality or Abn Prev Identified,1
ABNORMAL,1
NORMAL,0
"MAJOR ABNORMALITY, PHYSICIAN AWARE",1
"ABNORMAL, ATTENTION NEEDED",1
"ABNORMALITY, CORRELATE CLINICALLY",1
"MAJOR ABNORMALITY, NO ATTN. NEEDED",1
"ABNORMAL, ATTENTION NEEDED, E-alert Sent",1
Abnormality Follow-Up Needed,1
Outside Report\Exam Review Reqd,1
NO CHANGE FROM PREVIOUS STUDY,1
Critical Abnormality Needs Urgent Action,1
SEE RADIOLOGIST'S REPORT,1
NEW ABNORMAL FINDINGS/CHANGES,1
"SIGNIFICANT ABNORMALITY,ATTN NEEDED",1
NEGATIVE,0
"ABNORMAL, PROVIDER AWARE",1
NO IMMEDIATE ATTENTION NEEDED,0
"ABNORMALITY, ATTENTION NEEDED",1
No immediate attention required based on imaging findings ,0
UNEVENTFUL EXAMINATION,0
"MAJOR ABNORMALITY,PHYSICIAN AWARE",1
POSSIBLE MALIGNANCY,1
NO IMMEDIATE ATTENTION REQUIRED,0
"ABNORMALITY, MD ATTN NEEDED",1
PROBABLY NORMAL,0
"ABNORMALITY, ATTENTION NEEDED!",1
NO DIAGNOSTIC CODE,0
LIMITED TECHNICAL FACTORS,0
---
ABNORMAL:**FURTHER EVALUATION REQUIRED!!**,1
EXAM INTERPRETED BY AN OUTSIDE SOURCE,1
NO ACUTE CHANGES,1
"ABNORMAL, MALIGNANCY",1
Significant Abnormality; Attention Needed,1
COMPLETED AT OUTSIDE FACILITY,1
"NEW LESIONS, ATTN. NEEDED",1
CRITICAL TEST RESULTS,1
"ABNORMALITY, UNCHANGED",1
"EXAM INITIATED, PT REFUSED",1
Outside Imaging Report,1
CRITICAL VALUE,1
SIGNIFICANT ABNORMALITY ATTENTION NEEDED,1
VIEW ALERT ISSUED,1
"MAJOR ABNORMALITY,PHYSICIAN",1
Suspicious for New Malignancy Need FU,1
CLINICAL ALERT - PHYSICIAN CALLED,1
FEE-BASIS,1
"ABNORMALITY, ATTENTION NEEDED IMMEDIATELY",1
