ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,'ICD-9-CM CODE DESCRIPTION'
38600,93,Dizziness,MENIERE-s DISEASE NOS
38601,93,Dizziness,MENIERE DIS COCHLVESTIB
38602,93,Dizziness,MENIERE DIS COCHLEAR
38603,93,Dizziness,MENIERE DIS VESTIBULAR
38604,93,Dizziness,INACTIVE MENIERE-s DIS
38610,93,Dizziness,PERIPHERAL VERTIGO NOS
38611,93,Dizziness,BENIGN PARXYSMAL VERTIGO
38612,93,Dizziness,VESTIBULAR NEURONITIS
38619,93,Dizziness,PERIPHERAL VERTIGO NEC
3862,93,Dizziness,CENTRAL ORIGIN VERTIGO
38630,93,Dizziness,LABYRINTHITIS NOS
38631,93,Dizziness,SEROUS LABYRINTHITIS
38632,93,Dizziness,CIRCUMSCRI LABYRINTHITIS
38633,93,Dizziness,SUPPURATIV LABYRINTHITIS
38634,93,Dizziness,TOXIC LABYRINTHITIS
38635,93,Dizziness,VIRAL LABYRINTHITIS
38640,93,Dizziness,LABYRINTHINE FISTULA NOS
38641,93,Dizziness,ROUND WINDOW FISTULA
38642,93,Dizziness,OVAL WINDOW FISTULA
38643,93,Dizziness,SEMICIRCUL CANAL FISTULA
38648,93,Dizziness,LABYRINTH FISTULA COMB
38650,93,Dizziness,LABYRINTHINE DYSFUNC NOS
38651,93,Dizziness,HYPRACT LABYRINTH UNILAT
38652,93,Dizziness,HYPERACT LABYRINTH BILAT
38653,93,Dizziness,HYPOACT LABYRINTH UNILAT
38654,93,Dizziness,HYPOACT LABYRINTH BILAT
38655,93,Dizziness,LOSS LABYRN REACT UNILAT
38656,93,Dizziness,LOSS LABYRIN REACT BILAT
38658,93,Dizziness,LABYRINTHINE DYSFUNC NEC
3868,93,Dizziness,DISORDERS LABYRINTH NEC
3869,93,Dizziness,VERTIGINOUS SYND NOS
7804,93,Dizziness,DIZZINESS AND GIDDINESS
