ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description
R51,Headache,SYM010,Nervous system signs and symptoms,N,1 Not Applicable,R51 Headache symptom
G43001,"Migraine w/o aura, not intractable, with status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43009,"Migraine w/o aura, not intractable, w/o status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43011,"Migraine without aura, intractable, with status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43019,"Migraine w/o aura, intractable, without status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43101,"Migraine with aura, not intractable, with status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43109,"Migraine with aura, not intractable, w/o status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43111,"Migraine with aura, intractable, with status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43119,"Migraine with aura, intractable, without status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43401,"Hemiplegic migraine, not intractable, w status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43409,"Hemiplegic migraine, not intractable, w/o status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43411,"Hemiplegic migraine, intractable, with status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43419,"Hemiplegic migraine, intractable, without status migrainosus",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43501,"Perst migraine aura w/o cereb infrc, not ntrct, w stat migr",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43509,"Perst migrn aura w/o cereb infrc, not ntrct, w/o stat migr",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
G43511,"Perst migraine aura w/o cerebral infrc, ntrct, w stat migr",NVS010,Headache; including migraine,Y,0 Not Applicable,G43  Migraine (Include all the codes)
