,ICD-10-CM Code,ICD-10-CM Code Description,CCSR Category,CCSR Category Description,Default CCSR (Y/N/X),Rationale,ICD10 description,Comment
0,R42.,Dizziness and giddiness,SYM015,General sensation/perception signs and symptoms,Y,0 Not Applicable,R42 Dizziness and giddiness,Symptomatic diagosis
1,H81.01,"Menieres disease, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
2,H81.02,"Menieres disease, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
3,H81.03,"Menieres disease, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
4,H81.09,"Menieres disease, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
5,H81.10,"Benign paroxysmal vertigo, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
6,H81.11,"Benign paroxysmal vertigo, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
7,H81.12,"Benign paroxysmal vertigo, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
8,H81.13,"Benign paroxysmal vertigo, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
9,H81.20,"Vestibular neuronitis, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
10,H81.21,"Vestibular neuronitis, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
11,H81.22,"Vestibular neuronitis, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
12,H81.23,"Vestibular neuronitis, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
13,H81.311,"Aural vertigo, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
14,H81.312,"Aural vertigo, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
15,H81.313,"Aural vertigo, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
16,H81.319,"Aural vertigo, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
17,H81.391,"Other peripheral vertigo, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
18,H81.392,"Other peripheral vertigo, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
19,H81.393,"Other peripheral vertigo, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
20,H81.399,"Other peripheral vertigo, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
21,H81.4,Vertigo of central origin,EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
22,H81.41,"Vertigo of central origin, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
23,H81.42,"Vertigo of central origin, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
24,H81.43,"Vertigo of central origin, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
25,H81.49,"Vertigo of central origin, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
26,H81.8X1,"Other disorders of vestibular function, right ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
27,H81.8X2,"Other disorders of vestibular function, left ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
28,H81.8X3,"Other disorders of vestibular function, bilateral",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
29,H81.8X9,"Other disorders of vestibular function, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
30,H81.90,"Unspecified disorder of vestibular function, unspecified ear",EAR003,Diseases of inner ear and related conditions,Y,0 Not Applicable,H81  Disorders of vestibular function, Conditions associated with dizziness or vertigo
