,ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,'ICD-9-CM CODE DESCRIPTION'
0,386.00,93,Dizziness,MENIERE-s DISEASE NOS
1,386.01,93,Dizziness,MENIERE DIS COCHLVESTIB
2,386.02,93,Dizziness,MENIERE DIS COCHLEAR
3,386.03,93,Dizziness,MENIERE DIS VESTIBULAR
4,386.04,93,Dizziness,INACTIVE MENIERE-s DIS
5,386.10,93,Dizziness,PERIPHERAL VERTIGO NOS
6,386.11,93,Dizziness,BENIGN PARXYSMAL VERTIGO
7,386.12,93,Dizziness,VESTIBULAR NEURONITIS
8,386.19,93,Dizziness,PERIPHERAL VERTIGO NEC
9,386.2,93,Dizziness,CENTRAL ORIGIN VERTIGO
10,386.30,93,Dizziness,LABYRINTHITIS NOS
11,386.31,93,Dizziness,SEROUS LABYRINTHITIS
12,386.32,93,Dizziness,CIRCUMSCRI LABYRINTHITIS
13,386.33,93,Dizziness,SUPPURATIV LABYRINTHITIS
14,386.34,93,Dizziness,TOXIC LABYRINTHITIS
15,386.35,93,Dizziness,VIRAL LABYRINTHITIS
16,386.40,93,Dizziness,LABYRINTHINE FISTULA NOS
17,386.41,93,Dizziness,ROUND WINDOW FISTULA
18,386.42,93,Dizziness,OVAL WINDOW FISTULA
19,386.43,93,Dizziness,SEMICIRCUL CANAL FISTULA
20,386.48,93,Dizziness,LABYRINTH FISTULA COMB
21,386.50,93,Dizziness,LABYRINTHINE DYSFUNC NOS
22,386.51,93,Dizziness,HYPRACT LABYRINTH UNILAT
23,386.52,93,Dizziness,HYPERACT LABYRINTH BILAT
24,386.53,93,Dizziness,HYPOACT LABYRINTH UNILAT
25,386.54,93,Dizziness,HYPOACT LABYRINTH BILAT
26,386.55,93,Dizziness,LOSS LABYRN REACT UNILAT
27,386.56,93,Dizziness,LOSS LABYRIN REACT BILAT
28,386.58,93,Dizziness,LABYRINTHINE DYSFUNC NEC
29,386.8,93,Dizziness,DISORDERS LABYRINTH NEC
30,386.9,93,Dizziness,VERTIGINOUS SYND NOS
31,780.4,93,Dizziness,DIZZINESS AND GIDDINESS
