,ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,'ICD-9-CM CODE DESCRIPTION'
0,339.00,84,Headache/mig,CLUSTER HEADACHE SYN NOS (Begin 2008)
1,339.01,84,Headache/mig,EPISODC CLUSTER HEADACHE (Begin 2008)
2,339.02,84,Headache/mig,CHRONIC CLUSTER HEADACHE (Begin 2008)
3,339.03,84,Headache/mig,EPISDC PAROXYML HEMICRAN (Begin 2008)
4,339.04,84,Headache/mig,CHR PAROXYSML HEMICRANIA (Begin 2008)
5,339.05,84,Headache/mig,SHRT LST UNI NRAL HDACHE (Begin 2008)
6,339.09,84,Headache/mig,TRIGEM AUTONMC CEPHL NEC (Begin 2008)
7,339.10,84,Headache/mig,TENSION HEADACHE NOS (Begin 2008)
8,339.11,84,Headache/mig,EPISDIC TENSION HEADACHE (Begin 2008)
9,339.12,84,Headache/mig,CHRONIC TENSION HEADACHE (Begin 2008)
10,339.20,84,Headache/mig,POST-TRAUMA HEADACHE NOS (Begin 2008)
11,339.21,84,Headache/mig,AC POST-TRAUMA HEADACHE (Begin 2008)
12,339.22,84,Headache/mig,CHR POST-TRAUMA HEADACHE (Begin 2008)
13,339.3,84,Headache/mig,DRUG INDUCE HEADACHE NEC (Begin 2008)
14,339.41,84,Headache/mig,HEMICRANIA CONTINUA (Begin 2008)
15,339.42,84,Headache/mig,NEW DAILY PERS HEADACHE (Begin 2008)
16,339.43,84,Headache/mig,PRIM THNDERCLAP HEADACHE (Begin 2008)
17,339.44,84,Headache/mig,COMP HEADACHE SYND NEC (Begin 2008)
18,339.81,84,Headache/mig,HYPNIC HEADACHE (Begin 2008)
19,339.82,84,Headache/mig,HEADACHE W SEX ACTIVITY (Begin 2008)
20,339.83,84,Headache/mig,PRIMARY COUGH HEADACHE (Begin 2008)
21,339.84,84,Headache/mig,PRIM EXERTION HEADACHE (Begin 2008)
22,339.85,84,Headache/mig,PRIM STABBING HEADACHE (Begin 2008)
23,339.89,84,Headache/mig,HEADACHE SYNDROME NEC (Begin 2008)
24,346.0,84,Headache/mig,CLASSICAL MIGRAINE (Begin 1980 End 1992)
25,346.00,84,Headache/mig,CLASSICAL MIGR-NOT INTR (Begin 1992)
26,346.01,84,Headache/mig,CLASSICAL MIGR-INTRACT (Begin 1992)
27,346.02,84,Headache/mig,MGRN W AUR WO NTRC MGRN (Begin 2008)
28,346.03,84,Headache/mig,MGRN W AURA W NTRC MGRN (Begin 2008)
29,346.1,84,Headache/mig,COMMON MIGRAINE (Begin 1980 End 1992)
30,346.10,84,Headache/mig,COMMON MIGR-NOT INTR (Begin 1992)
31,346.11,84,Headache/mig,COMMON MIGR-INTRACT (Begin 1992)
32,346.12,84,Headache/mig,MGRN WO AURA WO NTRC MGR (Begin 2008)
33,346.13,84,Headache/mig,MGRN WO AURA W NTRC MGRN (Begin 2008)
34,346.2,84,Headache/mig,VARIANTS OF MIGRAINE (Begin 1980 End 1992)
35,346.20,84,Headache/mig,VARIANTS OF MIGR-NOT INTR (Begin 1992)
36,346.21,84,Headache/mig,VARIANTS OF MIGR-INTRACT (Begin 1992)
37,346.22,84,Headache/mig,VAR MGR NEC WO NTC MGR (Begin 2008)
38,346.23,84,Headache/mig,VAR MGRN NEC W NTRC MGR (Begin 2008)
39,346.30,84,Headache/mig,HMPLG MGR WO NTRC WO ST (Begin 2008)
40,346.31,84,Headache/mig,HMPLG MGRN W NTRC WO ST (Begin 2008)
41,346.32,84,Headache/mig,HEMPLG MGR WO NTRC W ST (Begin 2008)
42,346.33,84,Headache/mig,HMPLG MGRN W NTRC W ST (Begin 2008)
43,346.40,84,Headache/mig,MENST MGR WO NTRC WO ST (Begin 2008)
44,346.41,84,Headache/mig,MENSTL MGRN W NTRC WO ST (Begin 2008)
45,346.42,84,Headache/mig,MENSTL MGR WO NTRC W ST (Begin 2008)
46,346.43,84,Headache/mig,MENSTL MGRN W NTRC W ST (Begin 2008)
47,346.50,84,Headache/mig,PRST AURA WO INF/NTR/ST (Begin 2008)
48,346.51,84,Headache/mig,PRS ARA W NTR WO INF/ST (Begin 2008)
49,346.52,84,Headache/mig,PRS ARA WO INF/NTR W ST (Begin 2008)
50,346.53,84,Headache/mig,PRS ARA WO INF W NTR/ST (Begin 2008)
51,346.70,84,Headache/mig,CH MGR WO AR WO NT WO ST (Begin 2008)
52,346.71,84,Headache/mig,CH MGR WO ARA W NT WO ST (Begin 2008)
53,346.72,84,Headache/mig,CH MGR WO ARA WO NT W ST (Begin 2008)
54,346.73,84,Headache/mig,CH MGR WO ARA W NTR W ST (Begin 2008)
55,346.8,84,Headache/mig,MIGRAINE NEC (Begin 1980 End 1992)
56,346.80,84,Headache/mig,MIGR NEC-NOT INTR (Begin 1992)
57,346.81,84,Headache/mig,MIGR NEC-INTRACT (Begin 1992)
58,346.82,84,Headache/mig,OTH MGR WO NTRC W ST MGR (Begin 2008)
59,346.83,84,Headache/mig,OTH MGR W NTRC W ST MGR (Begin 2008)
60,346.9,84,Headache/mig,MIGRAINE NOS (Begin 1980 End 1992)
61,346.90,84,Headache/mig,MIGRAINE NOS-NOT INTR (Begin 1992)
62,346.91,84,Headache/mig,MIGRAINE NOS-INTRACT (Begin 1992)
63,346.92,84,Headache/mig,MGR NOS WO NTRC W ST MGR (Begin 2008)
64,346.93,84,Headache/mig,MGRN NOS W NTRC W ST MGR (Begin 2008)
65,784.0,84,Headache/mig,HEADACHE
