,0
0,patient
1,day
2,tablet
3,tab
4,medication
5,mouth
6,eval
7,refill
8,supply
9,pain
10,pulse
11,report
12,expiration
13,negative
14,release
15,review
16,specimen
17,male
18,deny
19,|
20,intact
21,month
22,symptom
23,skin
24,plan
25,qty
26,time
27,week
28,blood
29,provider
30,outpt
31,neg
32,collection
33,stable
34,year
35,test
36,blood pressure
37,lab
38,p
39,discharge
40,mmol
41,bilaterally
42,veteran
43,soft
44,alert
45,treatment
46,daily
47,date
48,state
49,level
50,hyperlipidemia
51,admission
52,change
53,evaluation
54,history
55,fever
56,increase
57,answer
58,active
59,dl
60,result
61,egfr
62,risk
63,eye
64,status active
65,status discontinue
66,lesion
67,assessment
68,hour
69,mild
70,calcium
71,caregiver
72,pcp
73,site
74,nurse
75,dose
76,unit
77,visit
78,stroke
79,bilateral
80,htn
81,respiration
82,pulse oximetry
83,response
84,hypertension
85,sob
86,co2
87,auto
88,diagnosis
89,min
90,atrial fibrillation
91,aneurysm
92,smoke
93,head trauma
