,0
0,patient
1,day
2,tablet
3,tab
4,medication
5,/
6,mouth
7,refill
8,supply
9,pain
10,negative
11,expiration
12,report
13,release
14,review
15,pulse
16,|
17,eval
18,deny
19,month
20,veteran
21,male
22,plan
23,qty
24,intact
25,skin
26,symptom
27,week
28,stable
29,outpt
30,year
31,level
32,alert
33,time
34,discharge
35,p
36,treatment
37,test
38,state
39,daily
40,specimen
41,answer
42,blood pressure
43,change
44,admission
45,blood
46,provider
47,collection
48,risk
49,nurse
50,lab
51,soft
52,history
53,active
54,hyperlipidemia
55,dose
56,status active
57,result
58,status discontinue
59,problem
60,unit
61,hour
62,htn
63,evaluation
64,date
65,mmol
66,mild
67,response
68,pcp
69,hypertension
70,increase
71,eye
72,egfr
73,urine
74,moderate
75,fever
76,diagnosis
77,admit
78,resp
79,evidence
80,allergy
81,stroke
82,assessment
83,lung
84,caregiver
85,neg
86,auto
87,9
88,heart
89,respiration
90,atrial fibrillation
91,aneurysm
92,smoke
93,head trauma
