ICD-9-CM CODE,CCS CATEGORY,CCS CATEGORY DESCRIPTION,'ICD-9-CM CODE DESCRIPTION'
34660,109,Acute CVD,PRS ARA W INF WO NTR/ST (Begin 2008)
34661,109,Acute CVD,PRS ARA W/INF/NTR WO ST (Begin 2008)
34662,109,Acute CVD,PRS ARA WO NTR W INF/ST (Begin 2008)
34663,109,Acute CVD,PRST ARA W INF W NTR/ST (Begin 2008)
430,109,Acute CVD,SUBARACHNOID HEMORRHAGE
431,109,Acute CVD,INTRACEREBRAL HEMORRHAGE
4320,109,Acute CVD,NONTRAUM EXTRADURAL HEM
4321,109,Acute CVD,SUBDURAL HEMORRHAGE
4329,109,Acute CVD,INTRACRANIAL HEMORR NOS
43301,109,Acute CVD,BASILAR ART OCCLUS W/CEREB INFARCT (Begin 1993)
43311,109,Acute CVD,CAROTID ART OCCLUS W/CEREB INFARCT (Begin 1993)
43321,109,Acute CVD,VERTEB ART OCCLUS W/CEREB INFARCT (Begin 1993)
43331,109,Acute CVD,MULT PRECEREB OCCLUS W/ INFARCT (Begin 1993)
43381,109,Acute CVD,PRECEREB OCCLUSION NEC W/ INFARCT (Begin 1993)
43391,109,Acute CVD,PRECEREB OCCLUS NOS W/O INFARCT (Begin 1993)
4340,109,Acute CVD,CEREBRAL THROMBOSIS (End 1993)
43400,109,Acute CVD,CEREB THROMBOSIS W/O INFARCT (Begin 1993)
43401,109,Acute CVD,CEREB THROMBOSIS W/ INFARCTION (Begin 1993)
4341,109,Acute CVD,CEREBRAL EMBOLISM (End 1993)
43410,109,Acute CVD,CEREB EMBOLISM W/O INFARCTION (Begin 1993)
43411,109,Acute CVD,CEREB EMBOLISM W/ INFARCTION (Begin 1993)
4349,109,Acute CVD,CEREBR ARTERY OCCLUS NOS (End 1993)
43490,109,Acute CVD,CEREBR ART OCCLUS NOS W/O INFARCT (Begin 1993)
43491,109,Acute CVD,CEREBR ART OCCLUS NOS W/ INFARCT (Begin 1993)
436,109,Acute CVD,CVA
4350,112,TIA,BASILAR ARTERY SYNDROME
4351,112,TIA,VERTEBRAL ARTERY SYNDROM
4352,112,TIA,SUBCLAVIAN STEAL SYNDROM
4353,112,TIA,VERTEBROBASILAR ART SYNDR (Begin 1995)
4358,112,TIA,TRANS CEREB ISCHEMIA NEC
4359,112,TIA,TRANS CEREB ISCHEMIA NOS
